kernel;C;color_space;orient;pix_per_cell;cell_per_block;hog_channel;spatial_size;hist_bins;spatial_feat;hist_feat;hog_feat;time_to_extract_features;features_vector_length;training_time;accuracy;prediction_time;time_to_extract_features_100;prediction_time_100
linear;1;YCrCb;9;8;2;-1;16;16;True;True;False;0.6;816;0.03;0.9667;0;0.1;0.005006393
linear;1;YCrCb;12;8;2;0;8;16;True;True;False;0.6;240;0.01;0.9833;0;0.1;0.001253088
